"college_names","college_zipcodes","college_latitudes","college_longitudes","college_admission_rates","college_STEM_degrees","college_in_state_cost","college_out_state_cost","public_avg_cost_25","public_avg_cost_50","public_avg_cost_75","public_avg_cost_100","public_avg_cost_rest","private_avg_cost_25","private_avg_cost_50","private_avg_cost_75","private_avg_cost_100","private_avg_cost_rest","title_4_public","title_4_private","faculty_salary","median_grad_debt","household_income","grad_income_10th.2","grad_income_25th.2","grad_income_75th.2","grad_income_90th.2","grad_income_10th.6","grad_income_25th.6","grad_income_75th.6","grad_income_90th.6"
"Mineral Area College",NA,37.845614,-90.482675,NA,0.0067,3220,5620,7951,8030,9444,10919,11153,NA,NA,NA,NA,NA,542,NA,5271,8404,42468.14,5200,12200,33600,46300,5300,14500,37700,53300
"Missouri Baptist University",NA,38.642017,-90.462606,0.5744,0,23886,23886,NA,NA,NA,NA,NA,17590,15687,19657,20529,20815,NA,176,5696,21750,62761.71,8000,20000,37500,52800,10100,22900,47300,60000
"National Academy of Beauty Arts-Farmington",63640,37.787881,-90.434241,NA,0,NA,NA,NA,NA,NA,NA,NA,8876,7933,NA,4423,NA,NA,18,NA,13090,45311.83,NA,NA,NA,NA,NA,NA,NA,NA
"Missouri College",63144,38.626527,-90.336949,NA,0,12839,12839,NA,NA,NA,NA,NA,15443,16459,18427,19762,20652,NA,51,4152,9418,55532.87,4700,10800,27700,37200,6600,12100,31100,50700
"Missouri School of Barbering",NA,38.798449,-90.324023,NA,0,NA,NA,NA,NA,NA,NA,NA,10373,8517,8467,NA,NA,NA,19,NA,NA,54135.16,NA,NA,NA,NA,NA,NA,NA,NA
"Missouri Southern State University",NA,37.095722,-94.460893,0.9413,0.0256,5523,10480,7652,8173,10090,11651,11941,NA,NA,NA,NA,NA,626,NA,6019,20831.5,46217,7100,17200,38400,50300,9100,20700,47700,63500
"Missouri Valley College",65340,39.108655,-93.190236,0.4557,0,19000,19000,NA,NA,NA,NA,NA,17153,17377,19778,20778,20711,NA,300,4384,27000,56022.44,6900,16100,35100,48700,8500,20900,47000,65100
"Missouri Western State University",64507,39.7575,-94.785643,NA,0.0438,7090,12860,8528,8391,11461,13487,14095,NA,NA,NA,NA,NA,686,NA,6673,21818,51145.93,6600,16700,39800,52300,8800,19800,47200,65500
"University of Missouri-Columbia",NA,38.941015,-92.326429,0.7813,0,9509,25166,11896,13090,15077,19222,20944,NA,NA,NA,NA,NA,2169,NA,9010,21883.5,66484.66,12500,25400,51800,64200,16200,31300,67900,94700
"University of Missouri-Kansas City",64110,39.035366,-94.578039,0.6271,0,7837,18366,11704,12663,14923,17784,18340,NA,NA,NA,NA,NA,606,NA,8601,21000,63187.36,10900,22400,51700,75000,11200,27400,67600,109500
