"college_names","college_zipcodes","college_latitudes","college_longitudes","college_admission_rates","college_STEM_degrees","college_in_state_cost","college_out_state_cost","public_avg_cost_25","public_avg_cost_50","public_avg_cost_75","public_avg_cost_100","public_avg_cost_rest","private_avg_cost_25","private_avg_cost_50","private_avg_cost_75","private_avg_cost_100","private_avg_cost_rest","title_4_public","title_4_private","faculty_salary","median_grad_debt","household_income","grad_income_10th.2","grad_income_25th.2","grad_income_75th.2","grad_income_90th.2","grad_income_10th.6","grad_income_25th.6","grad_income_75th.6","grad_income_90th.6"
"University of Arkansas at Little Rock",72204,34.726644,-92.341835,0.8983,0.0281,7624,17956,11601,11289,12907,14295,14084,NA,NA,NA,NA,NA,495,NA,7511,20500,51732.17,5800,17200,44200,57700,9400,19500,50400,70000
"University of Arkansas for Medical Sciences",NA,34.749718,-92.320945,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9485,12500,49718.16,26200,39400,85900,124200,24500,42500,92600,128000
"ABC Beauty College Inc",71923,34.12018,-93.080831,NA,0,NA,NA,NA,NA,NA,NA,NA,5074,NA,NA,NA,NA,NA,6,NA,16500,42338.39,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas Baptist College",NA,34.734751,-92.290555,NA,0,8760,8760,NA,NA,NA,NA,NA,13612,13577,17076,NA,NA,NA,267,3935,42281,43283.78,NA,8700,27400,NA,5900,13200,35200,42400
"Arkansas Beauty School-Little Rock",72209,34.669071,-92.334814,NA,0,NA,NA,NA,NA,NA,NA,NA,13933,NA,NA,NA,NA,NA,3,NA,6333,46467.08,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas Beauty College",72801,35.278622,-93.13522,NA,0,NA,NA,NA,NA,NA,NA,NA,8428,9445,12931,NA,NA,NA,12,NA,6333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lyon College",72501,35.778934,-91.628115,0.5912,0,25280,25280,NA,NA,NA,NA,NA,13631,14275,18551,19303,19649,NA,208,6277,25000,48616.43,9200,18800,42600,50100,12600,24200,56300,71300
"Arkansas College of Barbering and Hair Design",72114,34.753621,-92.266336,NA,0,NA,NA,NA,NA,NA,NA,NA,16923,22080,NA,NA,NA,NA,6,NA,16296,44157.53,NA,NA,NA,NA,NA,NA,NA,NA
"Arthur's Beauty College Inc-Fort Smith",NA,35.379955,-94.410967,NA,0,NA,NA,NA,NA,NA,NA,NA,11801,NA,NA,NA,NA,NA,17,NA,12030,44415.8,NA,NA,NA,NA,NA,NA,NA,NA
"University of Arkansas",72701,36.06153,-94.178214,0.6006,0,8522,21826,11335,12017,14631,17533,17830,NA,NA,NA,NA,NA,1324,NA,9169,21500,52450.53,10300,22200,50000,65500,13000,26700,64900,87200
"University of Arkansas at Pine Bluff",71601,34.242192,-92.021263,0.4616,0.0529,6538,12268,7380,8035,8806,12459,11061,NA,NA,NA,NA,NA,236,NA,5795,26748,42634.24,4100,11100,31200,44400,6700,14800,39700,58000
"Arkansas State University-Beebe",NA,35.074512,-91.896165,NA,0.0646,3480,5370,5878,6624,8848,10725,11335,NA,NA,NA,NA,NA,371,NA,5148,5174.5,47850.96,3900,13400,35500,50800,NA,16200,42000,NA
"Arkansas State University-Main Campus",72401,35.842779,-90.680478,0.7024,0.0042,8050,14050,10521,10895,12833,14686,14533,NA,NA,NA,NA,NA,1050,NA,6920,19500,42159.88,6100,15800,38900,53400,7600,18000,46800,67100
"Arkansas Tech University",NA,35.295227,-93.13233,0.8911,0.0207,6192,11352,9061,9631,11617,12670,12927,NA,NA,NA,NA,NA,1356,NA,6371,17750,43602.11,6500,16100,40300,53700,8800,19400,47700,69600
"University of Arkansas at Monticello",71656,33.589788,-91.812971,NA,0.0637,6446,12296,10202,9818,12350,13598,13127,NA,NA,NA,NA,NA,463,NA,5509,15000,39642.34,6800,13300,36300,53000,8800,18300,45300,68500
"Arthur's Beauty College Inc-Jacksonville",72076,34.8918,-92.102284,NA,0,NA,NA,NA,NA,NA,NA,NA,11710,NA,NA,NA,NA,NA,20,NA,10173.5,47817.42,1500,8400,25300,32700,1500,7800,23100,34500
"Baptist Health College-Little Rock",NA,34.713115,-92.40692,0.3235,0,8802,8802,NA,NA,NA,NA,NA,19180,21504,21691,23900,24556,NA,20,6052,13585,50522.63,14800,28200,54900,71700,8300,28900,59700,73300
"Black River Technical College",72455,36.239793,-90.951033,NA,0,2832,5304,5495,5737,9634,10313,10005,NA,NA,NA,NA,NA,232,NA,4886,8750,38741.83,3300,11500,33100,44500,5100,14800,40000,55100
"University of Central Arkansas",NA,35.078196,-92.45931,0.9218,0,7889,13806,11248,11913,14392,15584,15759,NA,NA,NA,NA,NA,1433,NA,6696,21415,48705.91,8000,16700,41600,56300,9900,21800,51800,73600
"Central Baptist College",72034,35.084574,-92.444102,0.4749,0,14400,14400,NA,NA,NA,NA,NA,14040,14114,15749,17357,17074,NA,102,5244,25000,50351.38,6200,17800,41600,60700,10300,20200,51200,67100
"Cossatot Community College of the University of Arkansas",71832,34.043389,-94.3673,NA,0,2670,5820,4599,5299,6542,NA,NA,NA,NA,NA,NA,NA,132,NA,4750,NA,40394.08,3000,11400,30500,39300,5300,11700,35500,50900
"Crowley's Ridge College",72450,36.066239,-90.58482,NA,0,11900,11900,NA,NA,NA,NA,NA,11795,11736,13278,13251,16806,NA,53,3741,19470.5,43531.15,NA,NA,NA,NA,NA,15800,42700,NA
"Crowley's Ridge Technical Institute",NA,35.041908,-90.767807,NA,0.014,1350,1350,3048,3588,6806,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,36585.52,3500,11100,24100,43100,3700,11000,29700,42600
"East Arkansas Community College",NA,35.039673,-90.767445,NA,0.0648,2790,3600,2733,-355,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,5350,3500,36763.69,3500,10000,30500,45900,4400,12500,33500,50600
"Eastern College of Health Vocations-Little Rock",72205,34.75126,-92.341981,NA,0,NA,NA,NA,NA,NA,NA,NA,12077,NA,NA,NA,NA,NA,227,NA,3693,47009.67,2500,9700,25600,31900,2600,10600,29700,36900
"Imagine-Paul Mitchell Partner School",72117,34.791306,-92.221304,NA,0,NA,NA,NA,NA,NA,NA,NA,16467,17628,18798,20827,20827,NA,111,NA,12965,50392.05,NA,NA,NA,NA,NA,NA,NA,NA
"National Park College",71913,34.512731,-93.117111,NA,0,3200,4580,7665,7069,8772,10108,11755,NA,NA,NA,NA,NA,254,NA,4837,11533,42516.37,3700,11200,33500,46200,4400,13100,38800,53200
"University of Arkansas Community College-Batesville",NA,35.79293,-91.616123,NA,0,2262,3942,1298,2075,3523,4241,NA,NA,NA,NA,NA,NA,86,NA,4560,9350,41751.68,4000,12600,36200,49400,4600,13300,40100,55800
"Harding University",NA,35.249605,-91.729008,0.992,0,17805,17805,NA,NA,NA,NA,NA,11825,13477,16574,18992,20689,NA,678,7200,27000,61757.88,8600,19500,46700,60000,9000,23300,56000,77800
"Henderson State University",NA,34.127792,-93.060313,0.6334,0,8100,14700,9488,10188,11249,12837,NA,NA,NA,NA,NA,NA,453,NA,6427,19500,45548.96,7600,14900,36500,50400,10100,21500,48200,67300
"Hendrix College",NA,35.09972,-92.442021,0.8238,0,40870,40870,NA,NA,NA,NA,NA,21841,22694,25252,25066,28033,NA,203,7401,27000,63550.03,5200,15700,39000,50200,11900,27300,58300,75800
"Hot Springs Beauty College",71901,34.496287,-93.038381,NA,0,NA,NA,NA,NA,NA,NA,NA,7732,11132,NA,NA,NA,NA,9,NA,NA,44560.1,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson Regional Medical Center School of Nursing",71603,34.187831,-92.018045,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5536,17937,44278.02,NA,NA,NA,NA,NA,NA,NA,NA
"John Brown University",72761,36.191077,-94.559088,0.7376,0.0019,24468,24468,NA,NA,NA,NA,NA,15310,15745,19059,20785,23076,NA,204,6635,21943,56884.69,12300,23200,54200,75000,11800,30600,69100,106800
"Lees School of Cosmetology",NA,34.781993,-92.296729,NA,0,NA,NA,NA,NA,NA,NA,NA,13167,NA,NA,NA,NA,NA,27,NA,NA,52633.44,NA,NA,NA,NA,NA,NA,NA,NA
"Career Academy of Hair Design",NA,36.16757,-94.131834,NA,0,NA,NA,NA,NA,NA,NA,NA,11886,13127,13426,14364,NA,NA,174,NA,7885,50797.95,NA,NA,NA,NA,NA,NA,NA,NA
"Academy of Salon and Spa",72901,35.380891,-94.416327,NA,0,NA,NA,NA,NA,NA,NA,NA,11872,11998,14048,NA,16528,NA,30,NA,9833,43968.6,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas State University Mid-South",NA,35.145736,-90.22285,NA,0.0053,2554,4388,8963,9371,8851,10101,NA,NA,NA,NA,NA,NA,149,NA,4348,NA,41452.41,4100,9600,27600,41800,5900,12200,34700,43100
"Arkansas Northeastern College",NA,35.897362,-89.922491,NA,0.0892,2150,3830,3800,4701,5799,NA,NA,NA,NA,NA,NA,NA,108,NA,5039,NA,37938.88,3900,11200,35700,47100,4600,13500,38300,55000
"Margaret's Hair Academy Inc",71655,33.629169,-91.7887,NA,0,NA,NA,NA,NA,NA,NA,NA,12266,NA,NA,NA,NA,NA,35,NA,8336.5,41362.64,NA,NA,NA,NA,NA,NA,NA,NA
"New Tyler Barber College Inc",NA,34.759076,-92.254108,NA,0,NA,NA,NA,NA,NA,NA,NA,14584,NA,NA,NA,NA,NA,28,NA,NA,45287.22,NA,NA,NA,NA,NA,NA,NA,NA
"North Arkansas College",NA,36.220528,-93.087317,NA,0.0238,2040,4320,3897,3971,5767,8075,NA,NA,NA,NA,NA,NA,243,NA,5218,8000,39024.26,3500,11900,33500,45300,4400,12900,38900,53400
"Northwest Technical Institute",72764,36.178617,-94.116433,NA,0.0333,2321,2321,9497,8334,10967,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,48871.29,3700,15900,38400,48100,6800,9800,42100,53800
"Ouachita Baptist University",NA,34.125045,-93.052442,0.6845,0,24120,24120,NA,NA,NA,NA,NA,14948,13960,16787,21157,24244,NA,293,6227,22500,61306.22,7700,17600,41800,55300,8500,23400,54400,77700
"College of the Ouachitas",NA,34.378745,-92.821416,NA,0.0627,3620,6410,7644,8850,10082,11971,NA,NA,NA,NA,NA,NA,116,NA,4605,8797,46122.57,3700,13300,34200,46600,4600,14200,37700,50400
"Ozarka College",NA,36.053031,-91.896355,NA,0,2776,5128,5243,5428,5487,5493,NA,NA,NA,NA,NA,NA,154,NA,4561,12353,34796.93,3900,9200,30800,44000,3600,13300,34300,54000
"University of the Ozarks",72830,35.477785,-93.467924,0.9677,0,24440,24440,NA,NA,NA,NA,NA,12704,12719,14145,18082,21400,NA,137,4672,22540,51329.59,5900,15600,35700,44700,3600,26000,53400,62900
"University of Arkansas Community College-Morrilton",72110,35.172136,-92.728507,0.6647,0.2368,2852,3908,4535,5212,6459,8495,9692,NA,NA,NA,NA,NA,267,NA,4952,7468.5,44557.97,5000,13000,35500,50900,5300,14300,39600,55500
"Philander Smith College",NA,34.73666,-92.28242,NA,0,12564,12564,NA,NA,NA,NA,NA,15300,15597,15893,17912,21978,NA,110,4774,31000,45434.78,4600,11300,32200,40800,6200,13500,35700,57200
"Phillips Community College of the University of Arkansas",NA,34.544976,-90.617745,NA,0.0484,2593,4325,4288,4738,5842,NA,NA,NA,NA,NA,NA,NA,118,NA,4497,4250,34872.94,3100,10500,28300,41700,4500,13300,33700,46800
"Southeast Arkansas College",71603,34.209797,-92.024731,NA,0.0202,3070,5590,2125,2944,3744,4907,NA,NA,NA,NA,NA,NA,190,NA,5296,6889,42805.78,4000,11300,32900,44100,5400,14500,39200,57000
"Professional Cosmetology Education Center",NA,33.215124,-92.663131,NA,0,NA,NA,NA,NA,NA,NA,NA,5045,8210,NA,NA,NA,NA,17,NA,9833,39190.14,NA,NA,NA,NA,NA,NA,NA,NA
"Pulaski Technical College",NA,34.78243,-92.299729,NA,0.0043,4332,6072,8566,9016,11401,12919,13736,NA,NA,NA,NA,NA,661,NA,5041,16632,50007.22,4100,11300,34300,48200,6200,14900,42000,57000
"University of Arkansas Community College-Hope",71801,33.64791,-93.584528,NA,0.0184,2460,4770,8335,8586,9148,9163,NA,NA,NA,NA,NA,NA,161,NA,4608,2250,38791.69,3600,12500,29200,48400,3700,12800,37700,54400
"Rich Mountain Community College",71953,34.590793,-94.2197,NA,0.018,2448,5400,5008,4818,7413,NA,NA,NA,NA,NA,NA,NA,97,NA,4644,NA,35544.46,2800,9000,27400,36300,3900,10900,33800,46300
"Paul Mitchell the School-Arkansas",72703,36.12681,-94.154191,NA,0,NA,NA,NA,NA,NA,NA,NA,17583,19528,17708,22788,22788,NA,23,NA,12000,47966.62,NA,NA,NA,NA,NA,NA,NA,NA
"Searcy Beauty College",72143,35.237723,-91.73454,NA,0,NA,NA,NA,NA,NA,NA,NA,17958,19520,NA,NA,NA,NA,16,NA,10000,42041.01,NA,NA,NA,NA,NA,NA,NA,NA
"Shorter College",72114,34.75933,-92.261331,NA,0,4904,4904,NA,NA,NA,NA,NA,16833,NA,NA,NA,NA,NA,35,2222,24250,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams Baptist College",72476,36.126825,-90.939876,0.6375,0,16430,16430,NA,NA,NA,NA,NA,12827,13477,14719,16829,16388,NA,126,5465,19000,42485.2,6700,16500,35800,46800,8400,21000,42500,61900
"South Arkansas Community College",NA,33.209446,-92.666087,NA,0,2402,4538,9059,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,4733,9500,40724.53,5900,14000,38400,51600,5700,14300,43900,57500
"Southern Arkansas University Main Campus",71753,33.291195,-93.235087,0.6748,0,7961,11531,10133,10632,13265,14768,15003,NA,NA,NA,NA,NA,361,NA,6291,17020,42416.87,7100,16800,40500,56200,9800,20600,48300,70600
"Southern Arkansas University Tech",NA,33.63037,-92.719498,NA,0.0103,4677,6117,9604,10358,12196,NA,NA,NA,NA,NA,NA,NA,56,NA,4441,5500,39761.28,4200,11500,36800,48400,4600,14900,39400,53300
"Velvatex College of Beauty Culture",NA,34.735724,-92.289758,NA,0,NA,NA,NA,NA,NA,NA,NA,4155,NA,NA,NA,NA,NA,18,NA,NA,46600.84,NA,NA,NA,NA,NA,NA,NA,NA
"University of Arkansas-Fort Smith",NA,35.385345,-94.374073,0.5581,0.0617,5062,11302,7210,6899,8576,9525,11822,NA,NA,NA,NA,NA,845,NA,6578,14132,45327.2,6200,16700,40700,50400,6000,18500,46400,62300
"Academy of Art University",94105,37.787748,-122.400686,NA,0,20340,20340,NA,NA,NA,NA,NA,30386,31289,33833,33217,33368,NA,320,7682,35000,74015.06,4400,12500,43100,65900,5900,18200,65000,90600
"ITT Technical Institute-Rancho Cordova",NA,38.59172,-121.281506,0.9317,0.2976,18048,18048,NA,NA,NA,NA,NA,23933,25362,25846,28541,28541,NA,55,6107,25429,61874.98,6400,15800,46800,64300,8900,23000,57200,77000
"Academy of Chinese Culture and Health Sciences",94612,37.806662,-122.272733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Academy of Radio and TV Broadcasting",92647,33.728895,-117.987666,NA,0,NA,NA,NA,NA,NA,NA,NA,20775,21045,21595,NA,NA,NA,68,NA,NA,61944.01,5500,13500,35600,50900,3400,14100,45600,59300
"Avalon School of Cosmetology-Alameda",94501,37.764203,-122.243566,NA,0,NA,NA,NA,NA,NA,NA,NA,15034,15359,NA,NA,NA,NA,23,NA,8554.5,61895.48,NA,NA,NA,NA,NA,NA,NA,NA
"College of Alameda",94501,37.78239,-122.279261,NA,0,1156,6316,5345,5902,7613,9575,NA,NA,NA,NA,NA,NA,125,NA,7513,NA,61586.14,3400,11100,36100,53800,6400,15300,49800,75200
"Allan Hancock College",NA,34.942979,-120.421486,NA,0.0015,1346,6750,4523,4161,4746,8459,NA,NA,NA,NA,NA,NA,470,NA,7092,10500,56468.26,3300,11700,34400,50500,4500,15200,46400,64800
"American Academy of Dramatic Arts-Los Angeles",90028,34.095315,-118.344097,0.1557,0,30650,30650,NA,NA,NA,NA,NA,39480,39660,39913,40444,40663,NA,81,7482,12000,66085.54,3500,9400,34600,57200,3700,10900,44200,58900
"American Baptist Seminary of the West",NA,37.865252,-122.256149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American Film Institute Conservatory",NA,34.10846,-118.309989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American Beauty College",91790,33.884391,-118.125036,NA,0,NA,NA,NA,NA,NA,NA,NA,7983,7923,10889,NA,NA,NA,13,NA,5300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American Career College-Los Angeles",90004,34.079236,-118.292282,NA,0,NA,NA,NA,NA,NA,NA,NA,22574,23211,24905,25431,25641,NA,227,5496,9500,51468.52,5200,12600,36500,55300,6500,15700,46800,59200
"American Conservatory Theater",NA,37.787326,-122.404945,1,0,26951,26951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5340,NA,80150.07,NA,NA,NA,NA,NA,NA,NA,NA
"American River College",NA,38.649734,-121.346012,NA,0.0111,1104,7440,6663,7069,8987,10400,12732,NA,NA,NA,NA,NA,726,NA,8393,12233,59196.72,3300,10900,38200,55600,4500,14000,49000,69300
"Antelope Valley College",NA,34.676207,-118.186166,NA,0.0415,1104,5664,5054,5243,7486,8831,11490,NA,NA,NA,NA,NA,659,NA,8503,11000,58643.73,3800,9800,33200,55300,4500,13800,46500,68300
"Art Center College of Design",91103,34.170844,-118.186901,0.7951,0.1697,39230,39230,NA,NA,NA,NA,NA,40080,36560,42495,48173,51615,NA,107,7325,31250,74131.88,6200,16800,69000,92100,7600,20100,84800,114700
"Associated Technical College-Los Angeles",NA,34.055987,-118.27243,NA,0,NA,NA,NA,NA,NA,NA,NA,21518,22560,22243,NA,NA,NA,249,NA,9500,41078.15,4800,9700,29200,48200,4900,12400,37800,51900
"Associated Technical College-San Diego",92101,32.715658,-117.158203,NA,0,NA,NA,NA,NA,NA,NA,NA,22271,22419,26080,NA,NA,NA,163,NA,9500,50973.76,NA,5100,26100,NA,1800,6600,33700,45400
"Azusa Pacific University",NA,34.130865,-117.88795,0.809,0,34754,34754,NA,NA,NA,NA,NA,21479,23943,24594,28145,33699,NA,761,9217,22500,73950.46,9300,21100,61000,83100,10100,28400,72400,92800
"Bakersfield College",NA,35.4108,-118.973491,NA,0.0188,1326,8102,2922,3087,5040,6892,9627,NA,NA,NA,NA,NA,1077,NA,8388,8955,46274.57,4000,12100,34600,56500,4900,15300,47100,73000
"Barstow Community College",92311,34.871451,-117.02523,NA,0,1104,5400,7585,6911,6391,NA,NA,NA,NA,NA,NA,NA,248,NA,8531,NA,50748.29,3100,9200,37900,55300,4200,14100,49900,70700
"Bellus Academy-National City",91950,32.676762,-117.090235,NA,0,NA,NA,NA,NA,NA,NA,NA,22697,22260,NA,28526,NA,NA,46,NA,14883,54154.45,2900,7200,27500,36300,2800,7700,30200,37800
"Bethesda University",92801,33.842295,-117.941323,NA,0,9120,9120,NA,NA,NA,NA,NA,13108,12433,19118,NA,NA,NA,14,2732,NA,73410.31,NA,NA,NA,NA,NA,NA,NA,NA
"Biola University",NA,33.904823,-118.017342,0.6985,0,34498,34498,NA,NA,NA,NA,NA,25382,26527,28864,33479,37666,NA,660,9151,24500,75484.4,7200,19100,47600,70300,6000,23000,66500,84500
"Brooks Institute",93001,34.33851,-119.295231,0.9755,0,20320,20320,NA,NA,NA,NA,NA,24863,26441,29229,29731,31821,NA,24,6489,31000,71989.4,4000,12500,37200,52300,3800,14100,49100,73200
"Brownson Technical School",92805,33.819,-117.906409,NA,0,NA,NA,NA,NA,NA,NA,NA,21499,21094,22960,26940,26641,NA,250,NA,9394,71944.78,NA,21200,55100,NA,NA,NA,NA,NA
"Bryan University",90010,34.061406,-118.302882,NA,0,11945,11945,NA,NA,NA,NA,NA,19651,20129,20698,22989,23083,NA,333,4403,20252,60965.37,6000,15200,49200,67300,NA,15400,53600,NA
"Butte College",NA,39.649116,-121.644691,NA,0.0154,1364,6404,4355,5447,7547,9797,11022,NA,NA,NA,NA,NA,764,NA,7662,13978,46805.61,3300,11600,36100,55400,4400,14300,50300,74200
"Phillips Graduate University",91311,34.24203,-118.567631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California Institute of Integral Studies",94103,37.774768,-122.416537,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8504,18750,76698.12,NA,NA,NA,NA,NA,NA,NA,NA
"Cabrillo College",95003,36.9891,-121.927926,NA,0.0051,1358,5698,7397,8410,10076,11903,13685,NA,NA,NA,NA,NA,428,NA,7297,10500,70523.73,4700,10600,37900,53900,6100,16800,53300,81800
"California Baptist University",NA,33.928569,-117.42587,0.6541,0.0031,30384,30384,NA,NA,NA,NA,NA,25711,29190,29674,32821,36771,NA,852,8816,27000,66849.57,7000,17800,50600,71600,8700,21400,59800,76500
"California College of the Arts",NA,37.76723,-122.399941,0.6854,0,43708,43708,NA,NA,NA,NA,NA,25600,26540,31109,35313,41228,NA,144,9234,28000,73343.27,6300,15100,47800,68800,3300,16600,57000,100300
"University of California-Hastings College of Law",NA,37.780718,-122.415395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13313,NA,77597.69,24700,53400,131100,205400,25800,64800,152000,240200
"California Institute of Technology",91125,34.139275,-118.12574,0.0881,0,45390,45390,NA,NA,NA,NA,NA,10064,8328,10264,31931,42695,NA,85,18636,14350,81448.64,NA,30000,97600,NA,19900,40100,116400,189000
"California Lutheran University",NA,34.225551,-118.879467,0.6156,0,38430,38430,NA,NA,NA,NA,NA,23962,24535,26328,29949,35053,NA,340,9938,23000,81648.78,10000,21700,50900,71900,13200,33100,75900,96300
"California Polytechnic State University-San Luis Obispo",93407,35.29889,-120.65856,0.3129,0.0101,9001,20161,10066,12107,15855,20662,23521,NA,NA,NA,NA,NA,1227,NA,9020,18666,74683.78,13800,28900,69000,81700,15700,38400,89900,112300
"Alliant International University-San Diego",92131,32.897056,-117.094398,0.9155,0,16800,16800,NA,NA,NA,NA,NA,15555,22598,20669,NA,NA,NA,15,9399,4000,71211.32,14300,33500,77100,88300,12000,31000,86000,103900
"California State University-Bakersfield",NA,35.350005,-119.104711,0.6875,0,6811,17971,4005,4813,8321,12993,15064,NA,NA,NA,NA,NA,1063,NA,8455,13168,53982.7,8500,18900,50300,67500,11500,26000,64300,81900
"California State University-Stanislaus",NA,37.52577,-120.852511,0.7063,0,6704,17864,3977,4742,7976,13975,15768,NA,NA,NA,NA,NA,905,NA,8378,15000,56979.76,6300,18200,47700,63000,9000,25600,59400,75100
"California State University-San Bernardino",NA,34.182987,-117.322508,0.6459,0,6577,17737,3968,5417,8907,12592,15622,NA,NA,NA,NA,NA,2045,NA,8663,16500,59070.9,7200,17500,47900,66500,10000,25500,63000,81000
"California State Polytechnic University-Pomona",91768,34.054273,-117.819019,0.3931,0.0236,7016,18176,9047,10399,14858,19240,21272,NA,NA,NA,NA,NA,2183,NA,9373,19000,68064.96,9900,22200,54300,71900,12700,32400,73600,96700
"California State University-Chico",NA,39.728003,-121.846333,0.6345,0.0252,7022,18182,8735,10216,14797,19510,21206,NA,NA,NA,NA,NA,1821,NA,8733,17000,61867.44,8500,19800,52200,71500,11100,27800,69000,91400
"California State University-Dominguez Hills",NA,33.86524,-118.259316,0.5277,8e-04,6213,17373,1186,2332,7254,11867,12900,NA,NA,NA,NA,NA,1078,NA,8689,13962,54533,7500,18300,47800,70900,9700,25700,62400,80600
"California State University-Fresno",93740,36.814477,-119.748258,0.5219,0.0139,6311,17471,3730,4895,8780,13276,15592,NA,NA,NA,NA,NA,2404,NA,8372,15000,53295.09,7600,17800,46300,64400,10000,25600,61000,83800
"California State University-Fullerton",NA,33.883627,-117.885349,0.4186,0,6437,17597,3472,4761,8769,13563,15805,NA,NA,NA,NA,NA,2617,NA,8854,15000,73036.4,8500,19700,48000,65900,10800,26700,64200,88000
"California State University-East Bay",94542,37.65707,-122.058073,0.7403,0,6564,17724,6545,8353,12652,17415,19501,NA,NA,NA,NA,NA,975,NA,9036,16332,78750.43,8400,21500,57300,77200,10800,31300,71400,97900
"California State University-Long Beach",NA,33.782752,-118.1123,0.3382,0.0111,6452,17612,5588,7459,10754,14690,17105,NA,NA,NA,NA,NA,2746,NA,8839,15000,66954.9,9100,19700,50400,68900,11400,28100,68200,88000
"California State University-Los Angeles",NA,34.066927,-118.168965,0.6813,0.009,6355,17515,1610,2605,6576,11722,13407,NA,NA,NA,NA,NA,2481,NA,8879,12920,52850.08,8100,18200,47600,70000,11700,25900,62400,81700
"California State University-Northridge",91330,34.23671,-118.526817,0.456,0.0035,6569,17729,4328,5551,9965,14508,16378,NA,NA,NA,NA,NA,3975,NA,8737,14196.5,64055.44,7700,18100,47600,65200,9800,25100,63300,84800
"California State University-Sacramento",NA,38.55745,-121.42194,0.6725,0.0046,6872,18032,5363,6343,10610,15609,17303,NA,NA,NA,NA,NA,2461,NA,8631,15750,65686.13,9000,21300,51300,70000,11900,29400,65800,90700
"University of California-Berkeley",94720,37.871969,-122.260423,0.1688,0,13431,38139,7338,9384,12260,19289,28961,NA,NA,NA,NA,NA,1823,NA,15711,14200,77601.85,9200,25400,70400,95700,16200,38200,95100,149700
"University of California-Davis",NA,38.539895,-121.751958,0.3795,0,13951,38659,9986,11025,13961,21041,29289,NA,NA,NA,NA,NA,2758,NA,13125,14676,76621.08,9200,21800,55900,76900,16900,37200,82100,117500
